"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","host","2.1.0","USB","36","GET DESCRIPTOR Request DEVICE"
"2","0.000000","2.1.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"3","0.000000","host","2.1.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"4","0.000000","2.1.0","host","USB","53","GET DESCRIPTOR Response CONFIGURATION"
"5","0.000000","host","2.1.0","USB","36","SET CONFIGURATION Request"
"6","0.000000","2.1.0","host","USB","28","SET CONFIGURATION Response"
"7","0.000000","host","2.4.0","USB","36","GET DESCRIPTOR Request DEVICE"
"8","0.000000","2.4.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"9","0.000000","host","2.4.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"10","0.000000","2.4.0","host","USB","137","GET DESCRIPTOR Response CONFIGURATION"
"11","0.000000","host","2.4.0","USB","36","SET CONFIGURATION Request"
"12","0.000000","2.4.0","host","USB","28","SET CONFIGURATION Response"
"13","0.000000","host","2.5.0","USB","36","GET DESCRIPTOR Request DEVICE"
"14","0.000000","2.5.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"15","0.000000","host","2.5.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"16","0.000000","2.5.0","host","USB","87","GET DESCRIPTOR Response CONFIGURATION"
"17","0.000000","host","2.5.0","USB","36","SET CONFIGURATION Request"
"18","0.000000","2.5.0","host","USB","28","SET CONFIGURATION Response"
"19","0.106787","2.4.2","host","USB","36","URB_INTERRUPT in"
"20","0.106805","host","2.4.2","USB","27","URB_INTERRUPT in"
"21","0.114793","2.4.2","host","USB","36","URB_INTERRUPT in"
"22","0.114813","host","2.4.2","USB","27","URB_INTERRUPT in"
"23","0.121785","2.4.2","host","USB","36","URB_INTERRUPT in"
"24","0.121801","host","2.4.2","USB","27","URB_INTERRUPT in"
"25","0.129790","2.4.2","host","USB","36","URB_INTERRUPT in"
"26","0.129806","host","2.4.2","USB","27","URB_INTERRUPT in"
"27","0.136781","2.4.2","host","USB","36","URB_INTERRUPT in"
"28","0.136793","host","2.4.2","USB","27","URB_INTERRUPT in"
"29","0.144962","2.4.2","host","USB","36","URB_INTERRUPT in"
"30","0.144975","host","2.4.2","USB","27","URB_INTERRUPT in"
"31","0.151783","2.4.2","host","USB","36","URB_INTERRUPT in"
"32","0.151798","host","2.4.2","USB","27","URB_INTERRUPT in"
"33","0.159785","2.4.2","host","USB","36","URB_INTERRUPT in"
"34","0.159811","host","2.4.2","USB","27","URB_INTERRUPT in"
"35","0.166786","2.4.2","host","USB","36","URB_INTERRUPT in"
"36","0.166826","host","2.4.2","USB","27","URB_INTERRUPT in"
"37","0.174785","2.4.2","host","USB","36","URB_INTERRUPT in"
"38","0.174809","host","2.4.2","USB","27","URB_INTERRUPT in"
"39","0.181781","2.4.2","host","USB","36","URB_INTERRUPT in"
"40","0.181807","host","2.4.2","USB","27","URB_INTERRUPT in"
"41","0.189778","2.4.2","host","USB","36","URB_INTERRUPT in"
"42","0.189797","host","2.4.2","USB","27","URB_INTERRUPT in"
"43","0.196777","2.4.2","host","USB","36","URB_INTERRUPT in"
"44","0.196798","host","2.4.2","USB","27","URB_INTERRUPT in"
"45","0.204778","2.4.2","host","USB","36","URB_INTERRUPT in"
"46","0.204794","host","2.4.2","USB","27","URB_INTERRUPT in"
"47","0.211782","2.4.2","host","USB","36","URB_INTERRUPT in"
"48","0.211806","host","2.4.2","USB","27","URB_INTERRUPT in"
"49","0.219774","2.4.2","host","USB","36","URB_INTERRUPT in"
"50","0.219790","host","2.4.2","USB","27","URB_INTERRUPT in"
"51","0.226777","2.4.2","host","USB","36","URB_INTERRUPT in"
"52","0.226793","host","2.4.2","USB","27","URB_INTERRUPT in"
"53","0.234794","2.4.2","host","USB","36","URB_INTERRUPT in"
"54","0.234808","host","2.4.2","USB","27","URB_INTERRUPT in"
"55","0.241776","2.4.2","host","USB","36","URB_INTERRUPT in"
"56","0.241792","host","2.4.2","USB","27","URB_INTERRUPT in"
"57","0.249776","2.4.2","host","USB","36","URB_INTERRUPT in"
"58","0.249792","host","2.4.2","USB","27","URB_INTERRUPT in"
"59","0.256780","2.4.2","host","USB","36","URB_INTERRUPT in"
"60","0.256801","host","2.4.2","USB","27","URB_INTERRUPT in"
"61","0.264778","2.4.2","host","USB","36","URB_INTERRUPT in"
"62","0.264797","host","2.4.2","USB","27","URB_INTERRUPT in"
"63","0.271780","2.4.2","host","USB","36","URB_INTERRUPT in"
"64","0.271801","host","2.4.2","USB","27","URB_INTERRUPT in"
"65","0.279777","2.4.2","host","USB","36","URB_INTERRUPT in"
"66","0.279794","host","2.4.2","USB","27","URB_INTERRUPT in"
"67","0.286775","2.4.2","host","USB","36","URB_INTERRUPT in"
"68","0.286792","host","2.4.2","USB","27","URB_INTERRUPT in"
"69","0.294777","2.4.2","host","USB","36","URB_INTERRUPT in"
"70","0.294793","host","2.4.2","USB","27","URB_INTERRUPT in"
"71","0.301776","2.4.2","host","USB","36","URB_INTERRUPT in"
"72","0.301791","host","2.4.2","USB","27","URB_INTERRUPT in"
"73","0.309775","2.4.2","host","USB","36","URB_INTERRUPT in"
"74","0.309794","host","2.4.2","USB","27","URB_INTERRUPT in"
"75","0.316773","2.4.2","host","USB","36","URB_INTERRUPT in"
"76","0.316790","host","2.4.2","USB","27","URB_INTERRUPT in"
"77","0.324773","2.4.2","host","USB","36","URB_INTERRUPT in"
"78","0.324789","host","2.4.2","USB","27","URB_INTERRUPT in"
"79","0.331776","2.4.2","host","USB","36","URB_INTERRUPT in"
"80","0.331795","host","2.4.2","USB","27","URB_INTERRUPT in"
"81","0.339773","2.4.2","host","USB","36","URB_INTERRUPT in"
"82","0.339789","host","2.4.2","USB","27","URB_INTERRUPT in"
"83","0.346777","2.4.2","host","USB","36","URB_INTERRUPT in"
"84","0.346795","host","2.4.2","USB","27","URB_INTERRUPT in"
"85","0.354775","2.4.2","host","USB","36","URB_INTERRUPT in"
"86","0.354800","host","2.4.2","USB","27","URB_INTERRUPT in"
"87","0.361780","2.4.2","host","USB","36","URB_INTERRUPT in"
"88","0.361804","host","2.4.2","USB","27","URB_INTERRUPT in"
"89","0.369777","2.4.2","host","USB","36","URB_INTERRUPT in"
"90","0.369795","host","2.4.2","USB","27","URB_INTERRUPT in"
"91","0.376775","2.4.2","host","USB","36","URB_INTERRUPT in"
"92","0.376797","host","2.4.2","USB","27","URB_INTERRUPT in"
"93","0.384776","2.4.2","host","USB","36","URB_INTERRUPT in"
"94","0.384851","host","2.4.2","USB","27","URB_INTERRUPT in"
"95","0.391775","2.4.2","host","USB","36","URB_INTERRUPT in"
"96","0.391796","host","2.4.2","USB","27","URB_INTERRUPT in"
"97","0.399784","2.4.2","host","USB","36","URB_INTERRUPT in"
"98","0.399801","host","2.4.2","USB","27","URB_INTERRUPT in"
"99","0.421777","2.4.2","host","USB","36","URB_INTERRUPT in"
"100","0.421796","host","2.4.2","USB","27","URB_INTERRUPT in"
"101","0.444774","2.4.2","host","USB","36","URB_INTERRUPT in"
"102","0.444792","host","2.4.2","USB","27","URB_INTERRUPT in"
"103","0.489780","2.4.2","host","USB","36","URB_INTERRUPT in"
"104","0.489808","host","2.4.2","USB","27","URB_INTERRUPT in"
"105","0.534779","2.4.2","host","USB","36","URB_INTERRUPT in"
"106","0.534812","host","2.4.2","USB","27","URB_INTERRUPT in"
"107","0.541774","2.4.2","host","USB","36","URB_INTERRUPT in"
"108","0.541799","host","2.4.2","USB","27","URB_INTERRUPT in"
"109","0.549774","2.4.2","host","USB","36","URB_INTERRUPT in"
"110","0.549792","host","2.4.2","USB","27","URB_INTERRUPT in"
"111","0.556774","2.4.2","host","USB","36","URB_INTERRUPT in"
"112","0.556797","host","2.4.2","USB","27","URB_INTERRUPT in"
"113","0.564777","2.4.2","host","USB","36","URB_INTERRUPT in"
"114","0.564799","host","2.4.2","USB","27","URB_INTERRUPT in"
